,Hotel,Is repeated guest,Arrival date,Departure date,Lead time,Adults,Children,Babies,Meal,Country,Market segment,Distribution channel,Customer type,Room type,Booking changes,Deposit type,Agent,Company,Days in waiting list,Customer City,Customer State,ADR,Required car parking spaces,Total of special requests,Reservation status,Reservation status date,Booking Date,Canceled
22,Resort Hotel,1,2022-11-01,2020-03-30,38,1,0,1,FB,United Kingdom,Offline TA/TO,TA/TO,Contract,Triple,2,Non Refund,6,2,28,Lisbon,Paris,170.2,2,0,Check-Out,2021-01-14,2022-09-24,0
23,Resort Hotel,1,2020-04-17,2022-06-06,49,1,0,0,FB,Portugal,Direct,Direct,Transient,Double,2,Refundable,5,5,35,Berlin,Lisbon,123.89,1,3,Check-Out,2022-04-21,2020-02-28,0
24,Resort Hotel,1,2021-10-11,2022-07-25,71,3,1,0,BB,Germany,Online TA,Direct,Group,Double,2,Refundable,10,2,50,Berlin,Madrid,184.66,2,2,Check-Out,2021-12-11,2021-08-01,0
25,Resort Hotel,0,2020-03-13,2021-02-13,229,4,2,1,BB,France,Corporate,Corporate,Contract,Single,3,Refundable,3,1,35,Berlin,Paris,52.84,2,3,Check-Out,2022-02-18,2019-07-28,0
26,Resort Hotel,0,2020-07-24,2020-07-10,289,1,2,0,FB,Germany,Offline TA/TO,TA/TO,Contract,Triple,2,Refundable,1,1,3,Lisbon,London,111.44,1,1,Check-Out,2022-03-15,2019-10-09,0
27,City Hotel,0,2021-12-18,2020-01-06,257,2,2,0,HB,Germany,Online TA,Direct,Group,Single,2,No Deposit,9,1,12,Paris,London,151.41,0,1,No-Show,2020-07-08,2021-04-05,0
28,City Hotel,0,2022-01-01,2022-12-14,92,1,2,0,HB,Germany,Direct,Corporate,Group,Triple,0,No Deposit,7,3,37,Paris,Paris,82.65,2,2,Canceled,2020-05-25,2021-10-01,1
29,Resort Hotel,1,2022-03-22,2021-08-19,75,3,0,1,HB,Germany,Direct,Corporate,Transient,Triple,1,Non Refund,9,9,43,Berlin,Berlin,158.24,0,1,No-Show,2021-11-15,2022-01-06,0
30,Resort Hotel,1,2021-04-22,2021-01-20,295,1,2,1,HB,Germany,Offline TA/TO,Direct,Group,Double,0,Non Refund,1,8,43,Paris,London,184.08,0,3,No-Show,2020-08-18,2020-07-01,0
31,Resort Hotel,0,2020-08-19,2022-06-02,184,2,1,0,HB,Spain,Online TA,Direct,Transient-Party,Double,0,No Deposit,5,1,30,Paris,Madrid,175.32,1,0,No-Show,2022-11-05,2020-02-17,0
32,Resort Hotel,1,2021-04-24,2022-09-28,162,3,1,1,FB,France,Direct,Corporate,Transient-Party,Single,0,No Deposit,10,10,37,Paris,Paris,57.56,1,3,Check-Out,2021-06-05,2020-11-13,0
33,City Hotel,0,2021-07-20,2021-06-12,100,3,0,0,FB,Germany,Online TA,Corporate,Transient,Triple,1,Refundable,6,1,16,Paris,Lisbon,89.05,2,4,Canceled,2020-10-05,2021-04-11,1
34,City Hotel,1,2020-05-16,2021-04-12,248,2,1,0,FB,United Kingdom,Offline TA/TO,Corporate,Transient-Party,Double,1,Non Refund,9,7,43,Berlin,Berlin,144.99,0,0,Canceled,2020-01-01,2019-09-11,1
35,Resort Hotel,0,2022-05-27,2022-11-23,135,4,0,1,HB,France,Corporate,Direct,Group,Triple,0,Refundable,2,9,1,Berlin,London,78.89,0,0,No-Show,2021-09-28,2022-01-12,0
36,City Hotel,0,2021-04-07,2022-09-02,219,1,1,0,BB,Germany,Online TA,TA/TO,Contract,Single,0,Refundable,9,1,9,Paris,Lisbon,77.17,2,0,Check-Out,2020-08-09,2020-08-31,0
37,Resort Hotel,0,2021-03-21,2021-11-19,154,1,1,0,FB,United Kingdom,Offline TA/TO,Corporate,Transient,Single,3,No Deposit,8,5,50,Madrid,Madrid,179.11,1,0,No-Show,2020-10-17,2020-10-18,0
38,Resort Hotel,0,2021-08-04,2020-07-05,339,2,2,1,HB,Spain,Corporate,Direct,Transient-Party,Double,1,No Deposit,2,8,33,Berlin,London,148.19,1,4,Check-Out,2022-11-17,2020-08-30,0
39,Resort Hotel,1,2021-08-18,2022-08-18,255,2,0,1,BB,Spain,Online TA,TA/TO,Transient,Triple,3,Refundable,7,7,42,Paris,London,159.84,0,1,No-Show,2021-12-04,2020-12-06,0
40,Resort Hotel,1,2022-08-05,2022-03-14,353,3,0,0,HB,Spain,Corporate,Direct,Transient-Party,Double,3,Non Refund,2,4,27,Lisbon,Lisbon,64.04,0,0,No-Show,2020-01-19,2021-08-17,0
41,City Hotel,0,2020-01-17,2021-12-18,148,1,0,1,FB,United Kingdom,Online TA,TA/TO,Group,Double,2,No Deposit,3,6,47,Madrid,Lisbon,90.79,0,4,No-Show,2022-07-03,2019-08-22,0
42,Resort Hotel,0,2021-05-15,2022-04-14,320,1,0,1,HB,United Kingdom,Online TA,Corporate,Contract,Triple,2,Refundable,8,4,15,Paris,Berlin,152.26,2,4,Canceled,2021-02-11,2020-06-29,1
43,City Hotel,0,2022-09-25,2022-08-04,249,2,1,0,BB,Portugal,Corporate,TA/TO,Group,Single,2,Refundable,9,1,17,Berlin,Paris,125.56,0,3,Check-Out,2020-07-25,2022-01-19,0
44,Resort Hotel,0,2020-03-23,2021-12-07,161,3,0,0,HB,Spain,Corporate,Corporate,Transient-Party,Double,0,No Deposit,4,5,2,Paris,London,72.2,1,2,No-Show,2021-08-31,2019-10-14,0
45,Resort Hotel,1,2020-01-23,2020-01-11,138,2,0,0,FB,Spain,Offline TA/TO,Corporate,Contract,Single,2,No Deposit,3,8,39,Lisbon,Madrid,60.24,0,3,Check-Out,2021-11-02,2019-09-07,0
46,City Hotel,1,2022-03-11,2021-01-17,120,1,1,1,FB,United Kingdom,Direct,Corporate,Transient,Double,2,Refundable,5,4,11,London,Berlin,137.97,0,4,Check-Out,2022-08-30,2021-11-11,0
47,City Hotel,0,2021-08-30,2020-11-02,8,4,2,0,HB,Portugal,Online TA,TA/TO,Contract,Double,3,Non Refund,6,9,11,Lisbon,Paris,103.08,0,3,No-Show,2021-09-05,2021-08-22,0
48,City Hotel,1,2021-12-03,2020-07-31,329,1,0,1,HB,Spain,Corporate,Corporate,Transient,Single,2,Refundable,1,1,36,Lisbon,Paris,79.18,2,3,Canceled,2020-12-24,2021-01-08,1
49,City Hotel,0,2022-08-03,2020-05-11,147,3,0,0,HB,Spain,Online TA,Direct,Transient,Triple,3,No Deposit,10,9,35,London,London,111.22,2,1,No-Show,2022-10-21,2022-03-09,0
50,Resort Hotel,1,2022-01-30,2022-09-11,333,2,0,1,BB,Portugal,Corporate,Direct,Transient,Triple,2,Refundable,4,4,10,Berlin,London,53.64,0,0,Check-Out,2022-12-22,2021-03-03,0
51,Resort Hotel,0,2022-10-02,2022-12-11,32,2,2,1,BB,Spain,Offline TA/TO,TA/TO,Contract,Single,1,Non Refund,4,7,10,Paris,London,125.12,2,2,Check-Out,2022-03-27,2022-08-31,0
52,Resort Hotel,1,2022-09-10,2020-06-26,295,2,0,0,FB,United Kingdom,Offline TA/TO,Corporate,Transient-Party,Double,3,No Deposit,9,5,20,Paris,London,154.8,1,4,Canceled,2022-01-02,2021-11-19,1
53,Resort Hotel,0,2021-01-20,2022-04-24,196,2,0,1,HB,United Kingdom,Direct,Corporate,Transient,Double,3,No Deposit,4,5,28,Lisbon,Berlin,152.94,0,0,Check-Out,2022-12-18,2020-07-08,0
54,City Hotel,1,2021-08-17,2022-10-27,95,2,1,0,HB,Portugal,Online TA,TA/TO,Group,Double,0,Refundable,8,1,45,Paris,Paris,81.0,2,3,Check-Out,2020-01-17,2021-05-14,0
55,Resort Hotel,0,2022-02-19,2022-02-24,347,3,1,1,HB,United Kingdom,Online TA,Corporate,Transient-Party,Single,3,Non Refund,10,10,1,London,Berlin,181.03,2,1,No-Show,2021-03-19,2021-03-09,0
56,Resort Hotel,0,2022-08-03,2022-07-18,241,2,0,0,FB,United Kingdom,Direct,Corporate,Transient-Party,Double,2,No Deposit,1,6,3,London,Madrid,171.4,0,4,No-Show,2021-09-04,2021-12-05,0
57,Resort Hotel,1,2020-03-03,2021-03-26,71,4,2,0,BB,Spain,Offline TA/TO,TA/TO,Transient-Party,Triple,1,Refundable,5,10,42,Madrid,Berlin,174.57,1,3,Check-Out,2021-12-01,2019-12-23,0
58,Resort Hotel,0,2021-11-22,2021-01-03,232,3,2,1,HB,Spain,Offline TA/TO,TA/TO,Contract,Double,0,Non Refund,4,2,24,Berlin,Paris,199.83,1,3,No-Show,2020-04-17,2021-04-04,0
59,Resort Hotel,1,2022-05-18,2020-05-31,344,3,2,0,HB,Germany,Corporate,Corporate,Transient-Party,Single,1,Refundable,3,5,13,Berlin,Berlin,96.48,2,4,No-Show,2021-09-13,2021-06-08,0
60,Resort Hotel,0,2022-05-06,2022-04-08,270,1,2,0,HB,United Kingdom,Offline TA/TO,Corporate,Contract,Double,2,No Deposit,1,7,12,Berlin,Paris,108.98,2,1,No-Show,2021-10-25,2021-08-09,0
61,Resort Hotel,0,2022-09-05,2021-10-11,188,2,0,1,FB,United Kingdom,Offline TA/TO,TA/TO,Transient,Single,1,Refundable,1,9,47,Madrid,Paris,194.3,1,1,Check-Out,2020-07-06,2022-03-01,0
62,Resort Hotel,1,2021-07-02,2021-01-11,25,1,0,1,BB,France,Direct,Direct,Transient-Party,Double,0,Refundable,3,6,38,Lisbon,Paris,165.33,2,0,No-Show,2022-11-17,2021-06-07,0
63,Resort Hotel,1,2021-01-07,2020-05-17,364,4,0,0,FB,United Kingdom,Offline TA/TO,TA/TO,Transient-Party,Triple,1,Non Refund,4,7,26,Madrid,Lisbon,181.66,1,0,Check-Out,2021-12-24,2020-01-09,0
64,Resort Hotel,0,2022-11-24,2021-05-25,354,2,2,0,BB,Portugal,Online TA,TA/TO,Group,Double,0,Non Refund,2,6,49,London,Madrid,189.12,0,4,Check-Out,2022-05-14,2021-12-05,0
65,Resort Hotel,0,2022-10-11,2022-11-29,231,4,2,1,HB,France,Offline TA/TO,TA/TO,Group,Triple,2,Refundable,10,10,18,Madrid,Berlin,50.81,0,4,No-Show,2022-06-05,2022-02-22,0
66,City Hotel,0,2020-05-04,2021-04-12,358,3,0,1,BB,Spain,Direct,Corporate,Group,Double,3,Refundable,10,1,24,Berlin,Paris,151.49,1,4,No-Show,2022-10-15,2019-05-12,0
67,Resort Hotel,1,2022-01-28,2021-11-23,61,3,1,0,BB,Spain,Online TA,Corporate,Group,Single,0,Refundable,9,4,10,London,Paris,116.02,1,1,No-Show,2021-06-06,2021-11-28,0
68,Resort Hotel,1,2022-12-12,2020-04-03,271,4,0,1,HB,Portugal,Online TA,Direct,Transient,Single,2,No Deposit,6,2,38,Madrid,Berlin,83.09,1,2,Check-Out,2020-12-30,2022-03-16,0
69,Resort Hotel,1,2020-08-11,2022-07-30,333,2,2,0,BB,Spain,Online TA,Direct,Transient-Party,Single,1,Refundable,8,9,6,London,Madrid,109.69,1,2,No-Show,2020-11-30,2019-09-13,0
70,City Hotel,1,2020-11-16,2021-02-05,186,4,2,0,HB,Spain,Offline TA/TO,Direct,Transient,Single,1,Refundable,3,5,17,Madrid,Paris,83.95,0,3,Check-Out,2022-05-05,2020-05-14,0
71,Resort Hotel,0,2020-12-14,2022-02-01,5,3,0,0,FB,United Kingdom,Online TA,Direct,Contract,Single,0,No Deposit,10,5,25,Lisbon,Berlin,140.74,1,3,Canceled,2022-01-14,2020-12-09,1
72,Resort Hotel,1,2022-02-11,2022-01-16,263,2,0,1,BB,United Kingdom,Online TA,TA/TO,Group,Double,2,Non Refund,4,2,11,London,Berlin,193.98,2,4,No-Show,2022-05-20,2021-05-24,0
73,Resort Hotel,1,2021-09-09,2020-12-14,313,2,0,1,FB,Germany,Online TA,Corporate,Transient-Party,Double,2,Refundable,10,4,18,London,Berlin,156.03,2,2,Canceled,2020-05-24,2020-10-31,1
74,City Hotel,0,2022-06-07,2021-03-07,184,3,2,1,BB,Germany,Direct,Direct,Transient,Triple,2,Non Refund,6,7,41,Madrid,Paris,166.86,2,2,Check-Out,2020-01-26,2021-12-05,0
75,Resort Hotel,0,2020-11-08,2020-06-27,44,3,0,0,HB,Portugal,Direct,Direct,Contract,Double,2,Refundable,6,7,5,Madrid,Berlin,192.27,0,2,Canceled,2020-03-25,2020-09-25,1
76,Resort Hotel,1,2022-09-21,2022-08-05,174,4,0,0,BB,Spain,Direct,TA/TO,Transient-Party,Triple,3,Non Refund,4,6,46,Madrid,Berlin,150.17,2,0,Canceled,2021-05-26,2022-03-31,1
77,Resort Hotel,0,2020-06-11,2020-09-07,93,1,2,0,BB,Germany,Online TA,Corporate,Group,Double,3,Non Refund,5,6,27,Berlin,Paris,85.09,0,3,Canceled,2020-09-16,2020-03-10,1
78,City Hotel,0,2022-08-23,2022-10-13,180,3,0,1,HB,Spain,Online TA,Corporate,Contract,Triple,2,Refundable,10,6,23,Lisbon,Berlin,59.25,0,0,Canceled,2020-02-08,2022-02-24,1
79,Resort Hotel,1,2020-08-16,2020-06-02,326,4,2,1,FB,France,Direct,Direct,Transient-Party,Double,3,No Deposit,10,1,9,Madrid,Berlin,60.41,2,2,Check-Out,2020-08-05,2019-09-25,0
80,City Hotel,1,2021-04-28,2022-11-24,303,4,2,0,HB,United Kingdom,Offline TA/TO,Corporate,Contract,Single,0,Refundable,3,7,49,Madrid,Paris,133.96,2,3,Check-Out,2021-02-27,2020-06-29,0
81,Resort Hotel,1,2022-03-03,2020-02-12,98,4,0,1,FB,Germany,Direct,TA/TO,Transient-Party,Single,1,Non Refund,9,8,15,London,Berlin,63.87,1,0,Check-Out,2020-03-03,2021-11-25,0
82,City Hotel,0,2020-10-26,2020-12-31,318,1,2,1,HB,Portugal,Online TA,Direct,Group,Single,3,No Deposit,9,9,1,Berlin,Paris,137.81,0,2,Check-Out,2022-08-04,2019-12-13,0
83,City Hotel,0,2022-04-02,2022-10-25,342,4,2,1,BB,Spain,Offline TA/TO,Corporate,Group,Triple,2,Refundable,3,2,50,London,Berlin,59.18,0,0,Canceled,2020-01-12,2021-04-25,1
84,City Hotel,1,2021-08-05,2021-04-03,282,4,0,0,BB,France,Direct,Direct,Transient,Double,3,No Deposit,3,4,33,London,London,134.73,0,3,Canceled,2022-06-12,2020-10-27,1
85,Resort Hotel,1,2020-10-21,2021-04-24,200,4,2,1,BB,Spain,Corporate,Corporate,Group,Triple,3,Non Refund,10,8,42,London,London,103.87,1,3,Check-Out,2020-01-11,2020-04-04,0
86,Resort Hotel,1,2022-07-27,2021-10-26,68,4,2,1,HB,Portugal,Corporate,TA/TO,Group,Single,0,Non Refund,9,9,23,Berlin,Madrid,129.17,0,3,Check-Out,2021-10-25,2022-05-20,0
87,Resort Hotel,0,2021-03-30,2021-07-29,362,4,2,1,BB,Spain,Direct,TA/TO,Group,Single,2,No Deposit,9,4,27,Berlin,Paris,111.51,1,2,Check-Out,2022-08-18,2020-04-02,0
88,Resort Hotel,1,2022-11-23,2022-09-20,256,3,0,0,BB,France,Corporate,Corporate,Transient,Triple,0,Refundable,6,5,13,Madrid,Madrid,190.54,2,1,No-Show,2022-09-27,2022-03-12,0
89,City Hotel,0,2020-06-28,2022-10-08,167,4,0,1,FB,Spain,Offline TA/TO,TA/TO,Transient,Triple,1,Non Refund,10,10,12,Madrid,Berlin,90.66,2,0,Canceled,2020-09-08,2020-01-13,1
90,Resort Hotel,0,2020-05-19,2020-09-30,74,2,2,1,HB,France,Corporate,TA/TO,Transient-Party,Triple,3,Non Refund,2,2,33,Paris,Lisbon,119.72,1,0,No-Show,2022-04-22,2020-03-06,0
91,Resort Hotel,0,2020-09-28,2020-07-26,55,2,2,1,BB,Spain,Offline TA/TO,Corporate,Transient-Party,Triple,1,No Deposit,10,5,39,Paris,Madrid,96.75,2,4,Canceled,2022-08-03,2020-08-04,1
92,City Hotel,1,2021-04-13,2021-10-07,34,3,2,1,FB,Spain,Corporate,Direct,Transient-Party,Double,0,Refundable,9,9,21,Paris,Paris,52.73,0,1,Canceled,2021-10-10,2021-03-10,1
93,Resort Hotel,0,2020-09-09,2020-02-23,3,2,0,0,FB,Portugal,Offline TA/TO,Direct,Contract,Single,2,Non Refund,6,3,45,London,Madrid,196.12,0,1,Check-Out,2022-09-06,2020-09-06,0
94,City Hotel,1,2020-11-02,2022-06-22,13,2,1,1,FB,Portugal,Online TA,TA/TO,Group,Triple,2,Non Refund,8,7,22,Madrid,London,137.72,2,4,Check-Out,2021-05-30,2020-10-20,0
95,City Hotel,0,2022-09-07,2021-02-01,185,3,0,1,HB,Portugal,Offline TA/TO,Direct,Transient,Single,3,Refundable,7,8,14,Paris,Paris,187.96,2,3,Canceled,2021-08-23,2022-03-06,1
96,City Hotel,0,2022-08-24,2020-12-14,119,2,2,1,HB,United Kingdom,Offline TA/TO,Direct,Group,Triple,3,Non Refund,3,3,50,Berlin,Paris,84.75,0,1,No-Show,2021-11-09,2022-04-27,0
97,City Hotel,0,2022-06-27,2022-05-28,171,2,2,0,HB,Germany,Online TA,Corporate,Transient,Single,2,No Deposit,2,5,25,Madrid,Lisbon,181.43,2,4,No-Show,2021-03-08,2022-01-07,0
98,City Hotel,1,2020-01-04,2022-11-28,108,2,0,0,FB,France,Direct,TA/TO,Contract,Double,1,Refundable,4,10,10,Madrid,Lisbon,179.54,0,2,Check-Out,2021-07-15,2019-09-18,0
99,City Hotel,1,2022-04-29,2020-01-26,110,1,0,1,FB,United Kingdom,Direct,TA/TO,Contract,Single,0,No Deposit,9,7,10,Lisbon,Lisbon,189.78,2,3,Check-Out,2021-07-31,2022-01-09,0
100,City Hotel,1,2021-07-07,2020-03-18,187,1,0,0,FB,Portugal,Offline TA/TO,TA/TO,Contract,Single,2,Refundable,2,10,18,Berlin,Madrid,113.85,2,0,Check-Out,2021-11-11,2021-01-01,0
101,City Hotel,0,2020-08-24,2020-06-08,92,4,2,1,FB,Spain,Offline TA/TO,Corporate,Contract,Triple,1,Non Refund,4,10,27,Berlin,Madrid,177.6,2,0,No-Show,2020-04-23,2020-05-24,0
102,Resort Hotel,1,2022-04-12,2021-02-03,310,1,0,1,BB,United Kingdom,Online TA,Direct,Transient-Party,Single,1,Refundable,9,7,16,Berlin,Madrid,173.09,0,0,Canceled,2020-09-13,2021-06-06,1
103,City Hotel,0,2021-04-13,2021-12-24,133,3,1,0,HB,Portugal,Corporate,Corporate,Contract,Single,3,Refundable,1,4,37,Lisbon,Madrid,126.72,1,2,Canceled,2022-08-11,2020-12-01,1
104,City Hotel,1,2020-03-07,2020-05-08,20,1,1,1,FB,Portugal,Offline TA/TO,Corporate,Contract,Triple,1,Refundable,2,5,49,London,Paris,50.56,1,2,Check-Out,2022-09-15,2020-02-16,0
105,Resort Hotel,0,2021-10-18,2020-09-16,44,2,0,0,FB,United Kingdom,Direct,TA/TO,Transient,Single,2,No Deposit,2,2,8,London,Paris,178.67,1,1,No-Show,2021-01-17,2021-09-04,0
106,City Hotel,0,2022-08-23,2022-10-09,70,2,2,1,FB,Germany,Corporate,Direct,Transient,Double,0,Non Refund,6,7,47,Berlin,Berlin,71.42,2,1,No-Show,2020-05-12,2022-06-14,0
107,Resort Hotel,1,2021-04-07,2022-10-16,43,3,0,0,HB,France,Corporate,Corporate,Group,Double,2,No Deposit,10,7,13,Lisbon,London,122.88,1,1,Check-Out,2021-12-23,2021-02-23,0
108,Resort Hotel,1,2020-05-03,2021-06-12,7,2,1,0,HB,Portugal,Corporate,TA/TO,Transient-Party,Double,1,Refundable,7,6,7,London,Paris,63.57,0,0,Check-Out,2020-06-23,2020-04-26,0
109,Resort Hotel,0,2022-05-27,2021-05-03,315,4,1,0,BB,France,Online TA,Corporate,Group,Double,3,Non Refund,5,8,50,London,Berlin,175.22,0,2,Check-Out,2022-06-28,2021-07-16,0
110,City Hotel,0,2021-01-21,2021-08-23,131,3,2,0,BB,United Kingdom,Offline TA/TO,TA/TO,Contract,Single,0,Non Refund,3,2,14,Lisbon,Berlin,140.34,0,0,Check-Out,2021-12-04,2020-09-12,0
111,City Hotel,1,2022-03-30,2020-08-13,174,2,1,1,HB,Portugal,Online TA,TA/TO,Contract,Triple,2,Non Refund,1,3,14,Berlin,Madrid,192.44,1,0,Canceled,2022-09-24,2021-10-07,1
112,City Hotel,0,2022-04-07,2022-05-13,250,2,2,1,HB,Germany,Offline TA/TO,Direct,Contract,Single,2,Refundable,4,7,42,London,Paris,183.98,0,3,Check-Out,2022-01-07,2021-07-31,0
113,City Hotel,1,2022-10-28,2021-08-17,313,2,0,1,HB,Germany,Online TA,Corporate,Transient-Party,Double,0,Refundable,1,10,48,London,London,66.13,0,1,Check-Out,2021-04-27,2021-12-19,0
114,Resort Hotel,1,2021-08-19,2022-05-31,315,3,0,0,FB,Germany,Corporate,Corporate,Transient-Party,Double,3,Refundable,1,8,47,Paris,Berlin,68.33,0,1,Check-Out,2022-05-03,2020-10-08,0
115,City Hotel,1,2022-06-13,2021-07-02,79,2,0,0,BB,Germany,Direct,Corporate,Transient,Single,0,Refundable,1,3,3,Madrid,Berlin,90.05,0,4,Canceled,2021-01-01,2022-03-26,1
116,City Hotel,0,2021-06-22,2022-12-01,278,2,2,0,FB,France,Direct,Corporate,Transient-Party,Double,2,No Deposit,7,7,34,Berlin,Madrid,103.43,1,4,No-Show,2020-06-06,2020-09-17,0
117,Resort Hotel,1,2022-03-04,2020-07-09,186,3,0,0,HB,Germany,Direct,TA/TO,Contract,Double,2,Non Refund,10,10,45,Berlin,Paris,199.13,0,2,Canceled,2022-07-14,2021-08-30,1
118,City Hotel,1,2021-10-29,2020-11-11,96,3,0,1,FB,France,Offline TA/TO,Corporate,Transient-Party,Single,1,No Deposit,1,3,43,Paris,Lisbon,164.42,2,1,Check-Out,2020-06-06,2021-07-25,0
119,Resort Hotel,0,2022-11-05,2022-05-26,246,1,1,1,FB,United Kingdom,Offline TA/TO,Corporate,Transient-Party,Triple,3,No Deposit,10,7,35,Paris,Paris,153.26,0,1,No-Show,2020-06-09,2022-03-04,0
120,City Hotel,1,2020-10-18,2020-12-09,362,3,0,0,HB,France,Offline TA/TO,Corporate,Group,Triple,3,No Deposit,6,4,45,Berlin,Berlin,133.79,1,1,No-Show,2022-07-03,2019-10-22,0
121,Resort Hotel,0,2021-02-21,2020-10-13,359,4,2,1,FB,Germany,Direct,Corporate,Contract,Double,3,No Deposit,3,3,12,Lisbon,Lisbon,140.38,2,3,Canceled,2020-06-29,2020-02-28,1
122,Resort Hotel,0,2021-01-06,2020-02-04,40,2,1,1,FB,Germany,Offline TA/TO,Direct,Transient,Single,3,Non Refund,5,10,5,Paris,London,161.54,0,0,No-Show,2022-10-16,2020-11-27,0
